50	-15	42401	-168001
50	5	173300	-121030
40	-15	28506	-110937
40	-5	90437	-76668
40	5	147814	-56003
35	-20	-16422	-108913
35	-15	16280	-84680
35	-10	46836	-64254
35	-5	74708	-47711
35	0	101835	-33738
35	5	129282	-22884
35	10	157597	-15091
35	15	186903	-10606
30	-20	-28804	-85222
30	-15	1831	-59910
30	-10	30351	-38743
30	-5	56351	-20760
30	0	82210	-4279
30	5	107309	8765
30	10	132547	20190
30	15	159054	28511
30	20	187462	34071
25	-20	-44415	-63708
25	-15	-14787	-36659
25	-10	11485	-13757
25	-5	36055	6266
25	0	59171	24700
25	5	81817	41343
25	10	103898	56047
25	15	126280	69438
25	20	150797	79626
20	-20	-62267	-43790
20	-15	-34268	-15729
20	-10	-9466	9023
20	-5	13209	30996
20	0	33630	52003
20	5	53419	71856
20	10	72104	90179
20	15	89774	108154
20	20	107116	125237
20	25	123463	141789
15	-20	-82326	-26074
15	-15	-55413	3363
15	-10	-32734	29736
15	-5	-12343	53948
15	0	6352	77121
15	5	22587	100001
15	10	37334	122170
15	15	50144	144717
15	20	61071	168001
15	25	68499	192988
10	-20	-104573	-11032
10	-15	-78966	20312
10	-10	-57180	48368
10	-5	-38935	74639
10	0	-23011	99901
10	5	-9242	125190
10	10	2086	150280
10	15	10079	177624
10	20	15091	205017
10	25	14860	234755
5	-20	-128519	1422
5	-15	-103636	34884
5	-10	-83371	64505
5	-5	-66652	92374
5	0	-52773	119651
5	5	-41923	147314
5	10	-33601	174715
5	15	-29453	204245
5	20	-29823	236673
5	25	-35290	271975
0	-20	-154383	10848
0	-15	-129369	45993
0	-10	-110390	77901
0	-5	-94958	107371
0	0	-83498	136153
0	5	-74807	165139
0	10	-69383	195136
0	15	-68046	226451
0	20	-71191	259898
0	25	-80757	297255
-5	-20	-182979	16772
-5	-15	-157315	54324
-5	-10	-139236	88078
-5	-5	-124599	119254
-5	0	-114095	149595
-5	5	-107139	179474
-5	10	-103918	210436
-5	15	-104643	242686
-5	20	-110385	277513
-5	25	-121226	313777
-10	-20	-213918	17921
-10	-15	-187347	59226
-10	-10	-168198	94712
-10	-5	-154845	127372
-10	0	-145426	158354
-10	5	-139359	189742
-10	10	-137519	221104
-10	15	-139557	253692
-10	20	-146587	288475
-15	-20	-250142	12975
-15	-15	-218739	59836
-15	-10	-199120	97952
-15	-5	-185908	131903
-15	0	-176478	164387
-15	5	-171607	196273
-15	10	-170440	228225
-15	15	-172941	260421
-15	20	-180668	294126
-20	-20	-296533	-2256
-20	-15	-254545	55515
-20	-10	-232149	96458
-20	-5	-217686	132568
-20	0	-208246	166014
-20	5	-203333	198757
-20	10	-202501	230692
-20	15	-205607	262867
-20	20	-212742	295277
-25	-15	-297136	41459
-25	-10	-267708	90294
-25	-5	-250957	128989
-25	0	-240852	163935
-25	5	-235656	196905
-25	10	-234688	229427
-25	15	-237392	261282
-25	20	-244211	292597
-30	-10	-309907	75897
-30	-5	-290474	120076
-30	0	-275590	163464
-30	5	-269961	192435
-30	10	-266783	223988
-30	15	-267763	254113
-30	20	-274665	285858
-35	-5	-331601	101367
-35	0	-312955	145169
-35	5	-304542	180811
-35	10	-300847	214851
-35	15	-302357	247599
-35	20	-307044	276381
-40	5	-342789	165885
