-30	-10	-85455	-27134
-30	0	-27749	-30251
-30	10	26727	-30090
-30	20	80435	-27140
-20	-20	-158401	-4306
-20	-10	-93387	-12073
-20	0	-35905	-15546
-20	10	18926	-15886
-20	20	72969	-13363
-20	30	129949	-7873
-10	-20	-161636	9850
-10	-10	-97567	2409
-10	0	-40840	-1133
-10	10	14104	-1850
-10	20	68577	423
-10	30	126254	5825
0	-20	-160687	23851
0	-10	-98833	16724
0	0	-42509	13098
0	10	12199	12343
0	20	67626	14608
0	30	125924	19964
10	-20	-156274	37383
10	-10	-96596	30640
10	0	-41118	27027
10	10	13214	26330
10	20	69082	28703
10	30	128909	34301
20	-20	-149199	50771
20	-10	-91789	44425
20	0	-36858	41158
20	10	17637	40630
20	20	73773	43142
30	-20	-139282	63940
30	-10	-83667	58223
30	0	-29769	55211
30	10	24754	55156
30	20	82100	58116
0	0	-42547	13088
0	0	-42555	13094
-30	-10	-85457	-27223
-30	0	-27682	-30220
-30	10	26761	-30051
-30	20	80416	-27117
-20	-20	-158413	-4333
-20	-10	-93524	-12024
-20	0	-35905	-15556
-20	10	18864	-15894
-20	20	72952	-13376
-20	30	129932	-7806
-10	-20	-161527	9874
-10	-10	-97521	2411
-10	0	-41003	-1136
-10	10	14432	-1805
-10	20	68580	454
-10	30	126335	5952
0	-20	-160545	23877
0	-10	-98888	16807
0	0	-42461	13105
0	10	12387	12416
0	20	67625	14637
0	30	126036	19982
10	-20	-156361	37398
10	-10	-96853	30635
10	0	-40954	27077
10	10	13319	26389
10	20	68736	28602
10	30	128904	34302
20	-20	-149213	50734
20	-10	-91557	44410
20	0	-37133	41098
20	10	17621	40651
20	20	73760	43136
30	-20	-139310	63944
30	-10	-83603	58173
30	0	-29808	55181
30	10	24706	55116
30	20	82131	58145
0	0	-42422	13115
