-50	-20	-4317	209146
-50	-10	-79452	165772
-50	0	-143195	142968
-40	-20	4037	151961
-40	-10	-61188	107771
-40	0	-120840	81084
-40	10	-179460	66953
-30	-20	25626	101186
-30	-10	-32636	55432
-30	0	-84433	22248
-30	10	-134376	-3942
-30	20	-189630	-17699
-20	-20	59587	60288
-20	-10	8020	8469
-20	0	-36081	-35761
-20	10	-73773	-74152
-20	20	-107745	-109326
-10	-20	101689	27213
-10	-10	54496	-31487
-10	0	20865	-83222
-10	10	-3578	-134671
-10	20	-16391	-189813
0	-20	152180	7315
0	-10	107833	-60172
0	0	80557	-118757
0	10	66427	-177546
0	20	70253	-242995
10	-20	212176	-444
10	-10	165807	-77928
10	0	143067	-141333
10	10	136416	-204539
10	20	145198	-271615
20	-20	296803	23635
20	-10	230304	-78954
20	0	207213	-149140
20	10	201535	-213266
20	20	211701	-278227
30	-10	306360	-57842
30	0	272863	-137855
30	10	265963	-206700
30	20	275771	-269921
-50	-20	-3670	210883
-50	-10	-78467	167104
-50	0	-143464	143417
-40	-20	3117	151175
-40	-10	-62253	108559
-40	0	-120679	80423
-40	10	-180963	65975
-30	-20	25424	101375
-30	-10	-31985	54745
-30	0	-83990	20898
-30	10	-135071	-4212
-30	20	-189548	-17560
-20	-20	59373	59957
-20	-10	6876	8146
-20	0	-35106	-35590
-20	10	-73953	-74240
-20	20	-108790	-110748
-10	-20	102065	27520
-10	-10	54418	-30974
-10	0	21119	-83972
-10	10	-4436	-133204
-10	20	-16168	-189413
0	-20	152363	7495
0	-10	107755	-60098
0	0	81813	-119868
0	10	67317	-178786
0	20	70583	-244694
10	-20	210192	-2083
10	-10	165368	-78049
10	0	142700	-141971
10	10	135224	-205822
10	20	144092	-272525
20	-20	296272	23870
20	-10	228055	-81960
20	0	205573	-149387
20	10	200641	-213913
20	20	211415	-278058
30	-10	307751	-57351
30	0	271645	-139596
30	10	265049	-209483
30	20	274250	-270168
