kg	Th	In	Mi	Ri	Li
0.05	0.0815088	0.0220222	0.032017	0.279144	0.213865
0.15	0.303427	0.0885861	0.0978484	0.724262	0.656853
0.35	0.793585	0.191504	0.217972	1.53966	1.44877
0.55	1.26602	0.305731	0.337297	2.27727	2.33796
0.65	1.48655	0.413034	0.407566	2.80545	2.69009
0.85	1.89516	0.449675	0.562667	3.71361	3.65385
1.05	2.48598	0.575823	0.611838	4.32628	4.17754
