kg	Th	In	Mi	Ri	Li
0.05	0.073	0.077	0.061	0.044	0.075
0.15	0.199	0.178	0.129	0.135	0.179
0.25	0.323	0.279	0.161	0.239	0.309
0.35	0.448	0.435	0.303	0.343	0.405
0.55	0.688	0.655	0.502	0.582	0.580
0.65	0.798	0.968	0.455	0.439	0.692
0.85	1.058	1.027	0.523	0.623	0.842
1.05	1.283	1.237	0.699	0.705	1.104
