kg	Th	In	Mi	Ri	Li
0.05	0.0611316	0.0669179	0.066686	0.056859	0.0663411
0.15	0.146577	0.158174	0.148418	0.153261	0.135365
0.35	0.317249	0.370156	0.298431	0.361525	0.293167
0.55	0.487573	0.563497	0.547594	0.639454	0.430409
0.65	0.568346	0.628065	0.609082	0.647026	0.495471
0.85	0.731849	0.837544	0.739485	0.778576	0.670699
1.05	0.885534	1.00379	0.918665	1.04288	0.782833
