kg	Th	In	Mi	Ri	Li
0.05	0.080	0.073	0.081	0.071	0.071
0.15	0.213	0.225	0.199	0.182	0.179
0.25	0.327	0.250	0.354	0.326	0.272
0.35	0.424	0.549	0.479	0.421	0.340
0.55	0.660	0.777	0.668	0.674	0.630
0.65	0.763	0.849	0.805	0.755	0.662
0.85	0.986	0.993	0.921	0.949	0.821
1.05	1.118	1.156	1.098	1.115	0.896
