kg	Th	In	Mi	Ri	Li
0.05	0.071	0.077	0.073	0.056	0.056
0.15	0.160	0.178	0.183	0.173	0.164
0.25	0.235	0.302	0.323	0.298	0.286
0.35	0.322	0.399	0.412	0.420	0.387
0.55	0.478	0.595	0.603	0.592	0.527
0.65	0.590	0.671	0.697	0.716	0.636
0.85	0.696	0.866	0.956	0.953	0.822
1.05	0.871	1.016	1.102	1.090	0.955
