kg	Th	In	Mi	Ri	Li
0.05	0.218	0.050	0.028	0.196	0.257
0.15	0.617	0.114	0.073	0.671	0.701
0.25	0.998	0.153	0.121	0.998	1.149
0.35	1.364	0.244	0.164	1.272	1.576
0.55	2.037	0.305	0.197	1.785	2.289
0.65	2.472	0.310	0.195	1.977	2.706
0.85	3.038	0.431	0.245	2.488	3.414
1.05	3.786	0.672	0.290	2.814	4.155
