kg	Th	In	Mi	Ri	Li
0.05	0.0729606	0.05087	0.073848	0.056633	0.0491775
0.15	0.20365	0.16781	0.219175	0.184	0.172839
0.35	0.4355	0.40181	0.49837	0.3463	0.40183
0.55	0.614115	0.62352	0.656734	0.6000986	0.6312
0.65	0.7372	0.73026	0.6934	0.6204	0.7208
0.85	0.9988	0.9309	1.00286	0.968	0.9533
1.05	1.1943	1.141	1.323	1.2037	1.18757
