kg	Th	In	Mi	Ri	Li
0.05	0.060799	0.069158	0.0595019	0.0378521	0.052736
0.15	0.136378	0.160567	0.184347	0.121162	0.130284
0.35	0.295788	0.357903	0.413517	0.281359	0.290484
0.55	0.442616	0.522031	0.609537	0.46469	0.437678
0.65	0.513428	0.662288	0.695346	0.535728	0.543565
0.85	0.645689	0.830964	0.975799	0.729606	0.697137
1.05	0.822346	1.01768	1.05521	0.887317	0.825114
