kg	Th	In	Mi	Ri	Li
0.05	0.193167	0.125028	0.149782	0.137669	0.173223
0.15	0.662670	0.419068	0.411325	0.498541	0.598221
0.35	1.502550	1.014250	0.901068	1.120350	1.616710
0.55	2.202760	1.761190	1.640530	1.732100	1.887190
0.65	2.598160	1.975240	2.103120	1.821060	2.333540
0.85	3.293120	2.341010	2.314540	2.688670	2.752970
