kg	Th	In	Mi	Ri	Li
0.05	0.2136	0.2681	0.1998	0.2661	0.1746
0.15	0.2949	0.3901	0.3404	0.3334	0.2524
0.35	0.4433	0.6244	0.6301	0.5216	0.4029
0.55	0.6087	0.8551	0.8337	0.7083	0.5366
0.65	0.6963	0.9776	0.9072	0.7803	0.6058
0.85	0.8389	1.2247	1.0837	0.9929	0.7492
1.05	0.9935	1.4453	1.2979	1.103	0.9338
