kg	Th	In	Mi	Ri	Li
0.05	0.225	0.304	0.152	0.212	0.265
0.15	0.630	0.644	0.329	0.594	0.705
0.25	1.028	0.846	0.423	1.018	1.161
0.35	1.444	1.369	0.786	1.058	1.592
0.55	2.228	1.677	0.855	1.599	2.372
0.65	2.584	2.014	0.933	1.503	2.718
0.85	3.275	2.517	1.154	2.070	3.606
1.05	3.952	3.373	1.618	2.534	4.518
