kg	Th	In	Mi	Ri	Li
0.05	0.224207	0.150533	0.161095	0.113465	0.199512
0.15	0.507688	0.484072	0.475884	0.375683	0.55988
0.35	1.00636	1.1693	1.13418	0.850407	0.923038
0.55	1.54393	1.74838	1.71971	1.38772	1.54169
0.65	1.87217	1.98942	1.93055	1.61133	1.90714
0.85	2.33518	2.2499	2.2241	1.78305	2.02155
1.05	3.00057	3.21856	3.10963	2.70308	3.07772
