kg	Th	In	Mi	Ri	Li
0.05	0.0279702	0.0447249	0.0693625	0.081399	0.059505
0.15	0.11041	0.158196	0.182665	0.197998	0.175344
0.35	0.270348	0.376428	0.412119	0.438554	0.383413
0.55	0.426884	0.61326	0.626737	0.678262	0.599435
0.65	0.496521	0.71279	0.734349	0.765877	0.693878
0.85	0.649632	0.939686	1.0088	1.00036	0.931211
1.05	0.743916	1.19835	1.11959	1.19165	1.11013
