kg	Th	In	Mi	Ri	Li
0.05	0.141926	0.142357	0.145454	0.135313	0.121201
0.15	0.346275	0.448268	0.455239	0.343504	0.307401
0.35	0.738801	0.966527	0.968456	0.759011	0.622221
0.55	1.12456	1.38048	1.46546	1.16966	1.0181
0.65	1.37747	1.74964	1.77683	1.34917	1.26612
0.85	1.76553	2.24504	2.28867	1.86868	1.35273
1.05	1.98773	2.73035	2.51025	2.14467	1.45823
