kg	Th	In	Mi	Ri	Li
0.05	0.0627979	0.112949	0.159444	0.18977	0.138618
0.15	0.243239	0.408292	0.447752	0.476403	0.414136
0.35	0.592914	0.905298	0.980984	0.991995	0.882504
0.55	0.97008	1.4745	1.51876	1.49262	1.4206
0.65	1.18942	1.67515	1.75762	1.8294	1.65662
0.85	1.54467	2.38074	2.25423	2.34258	2.22128
1.05	1.897656	2.79375	2.64663	2.80193	2.56919
