-50	-15	-43096	203256
-50	5	-172851	155855
-40	-15	-29874	146134
-40	-5	-91500	111477
-40	5	-149997	91003
-35	-20	14243	143833
-35	-15	-17839	119717
-35	-10	-47871	99446
-35	-5	-75703	82935
-35	0	-103030	68520
-35	5	-130784	57636
-35	10	-159194	49465
-35	15	-188250	45351
-30	-20	28376	121050
-30	-15	-2710	94455
-30	-10	-31326	72919
-30	-5	-57107	54376
-30	0	-81920	37622
-30	5	-107043	24269
-30	10	-133174	12959
-30	15	-158648	4356
-25	-20	42660	98814
-25	-15	13300	72096
-25	-10	-13421	48658
-25	-5	-37299	28248
-25	0	-60720	9664
-25	5	-83262	-6974
-25	10	-104921	-22015
-25	15	-127540	-35407
-25	20	-150703	-46141
-20	-20	60808	78613
-20	-15	32865	50968
-20	-10	8125	25773
-20	-5	-14602	3336
-20	0	-34740	-17496
-20	5	-55005	-37568
-20	10	-73032	-56285
-20	15	-91084	-74420
-20	20	-107855	-91873
-20	25	-125239	-108120
-15	-20	80175	61128
-15	-15	53825	31277
-15	-10	30810	4795
-15	-5	10350	-18987
-15	0	-7836	-42699
-15	5	-25538	-64874
-15	10	-38666	-88045
-15	15	-51983	-110161
-15	20	-62608	-134672
-15	25	-69008	-160257
-10	-20	103140	46186
-10	-15	77000	14439
-10	-10	55464	-13651
-10	-5	37038	-40192
-10	0	20787	-65445
-10	5	7451	-91011
-10	10	-3742	-116333
-10	15	-11969	-142927
-10	20	-16231	-172211
-10	25	-14694	-202455
-5	-20	126191	33485
-5	-15	101919	471
-5	-10	81232	-29603
-5	-5	64928	-57870
-5	0	51133	-85710
-5	5	40397	-112979
-5	10	32549	-141109
-5	15	27259	-170195
-5	20	28357	-202930
-5	25	34641	-237536
0	-20	152075	23859
0	-15	128259	-10995
0	-10	108587	-42949
0	-5	93516	-72927
0	0	81200	-101779
0	5	72724	-130901
0	10	67052	-161230
0	15	66039	-192318
0	20	69622	-226927
0	25	78931	-262030
5	-20	180046	18126
5	-15	155522	-19790
5	-10	137043	-53093
5	-5	122570	-84149
5	0	111489	-114543
5	5	104258	-145367
5	10	101398	-176170
5	15	102129	-208558
5	20	107745	-243290
5	25	121021	-281863
10	-20	211237	16733
10	-15	184658	-24660
10	-10	166429	-59799
10	-5	152463	-92754
10	0	142628	-124563
10	5	136816	-155256
10	10	135466	-187351
10	15	137238	-219208
10	20	144786	-254925
15	-20	246622	21254
15	-15	217224	-25006
15	-10	197459	-62762
15	-5	183635	-96810
15	0	174691	-129643
15	5	168746	-161834
15	10	167383	-193739
15	15	171037	-226642
15	20	178691	-261044
20	-20	291142	36427
20	-15	252331	-19736
20	-10	229994	-61497
20	-5	215811	-97900
20	0	206376	-131328
20	5	201667	-164453
20	10	200644	-196154
20	15	203638	-228888
20	20	211209	-262196
25	-15	294307	-6243
25	-10	264909	-55509
25	-5	248299	-94407
25	0	238907	-129440
25	5	233313	-163315
25	10	232534	-195677
25	15	235543	-228255
25	20	242994	-260146
30	-10	306054	-40742
30	-5	283903	-85971
30	0	272301	-123147
30	5	266321	-156817
30	10	265337	-188772
30	15	267456	-220274
30	20	274154	-252918
35	-5	327351	-67879
35	0	309782	-110603
35	5	301589	-146826
35	10	298495	-180928
35	15	300231	-212429
35	20	306044	-245459
40	5	340028	-130674
