30	-30	132228	72113
30	-20	90267	90955
30	-10	46400	100440
20	-30	108472	25585
20	-20	62139	40005
20	-10	13942	44058
20	0	-39185	35665
10	-30	92837	-22341
10	-20	43835	-10480
10	-10	-6249	-9702
10	0	-59336	-20478
0	-30	86709	-72581
0	-20	35701	-60436
0	-10	-14505	-60039
0	0	-66386	-70891
0	10	-120937	-93106
0	20	-177513	-127254
-10	-30	90234	-127600
-10	-20	36643	-112723
-10	-10	-13200	-110896
-10	0	-63118	-119916
-10	10	-113026	-138895
-10	20	-163303	-167504
-20	-20	48848	-169958
-20	-10	-2288	-163214
-20	0	-50487	-169152
-20	10	-97214	-184341
30	-30	132322	72092
30	-20	90133	91016
30	-10	46513	100361
20	-30	108460	25711
20	-20	62017	39937
20	-10	14185	43985
20	0	-39165	35795
10	-30	92940	-22370
10	-20	43960	-10559
10	-10	-6112	-9585
10	0	-59348	-20446
0	-30	86618	-72501
0	-20	35639	-60421
0	-10	-14567	-60110
0	0	-66311	-70786
0	10	-120846	-93068
0	20	-177551	-127175
-10	-30	90222	-127635
-10	-20	36819	-112643
-10	-10	-13079	-110736
-10	0	-63197	-119864
-10	10	-113041	-138913
-10	20	-163239	-167598
-20	-20	48838	-169906
-20	-10	-2101	-163313
-20	0	-50496	-169145
-20	10	-97182	-184322
