30	-30	25360	34591
30	-20	-17005	53481
30	-10	-60645	62979
20	-30	1487	-11913
20	-20	-44892	2540
20	-10	-92934	6501
20	0	-39228	-1792
10	-30	92823	-22414
10	-20	43842	-10451
10	-10	-6059	-9597
10	0	-59252	-20509
0	-30	86640	-72520
0	-20	35660	-60456
0	-10	-14510	-60078
0	0	-66206	-70754
0	10	-120915	-93228
0	20	-177607	-127221
-10	-30	90399	-127766
-10	-20	36904	-112736
-10	-10	-13041	-110778
-10	0	-63140	-119848
-10	10	-113048	-138900
-10	20	-163222	-167462
-20	-20	48855	-170031
-20	-10	-2065	-163374
-20	0	-50475	-169207
-20	10	-97200	-184316
30	-30	132228	72113
30	-20	90267	90955
30	-10	46400	100440
20	-30	108472	25585
20	-20	62139	40005
20	-10	13942	44058
20	0	-39185	35665
10	-30	92837	-22341
10	-20	43835	-10480
10	-10	-6249	-9702
10	0	-59336	-20478
0	-30	86709	-72581
0	-20	35701	-60436
0	-10	-14505	-60039
0	0	-66386	-70891
0	10	-120937	-93106
0	20	-177513	-127254
-10	-30	90234	-127600
-10	-20	36643	-112723
-10	-10	-13200	-110896
-10	0	-63118	-119916
-10	10	-113026	-138895
-10	20	-163303	-167504
-20	-20	48848	-169958
-20	-10	-2288	-163214
-20	0	-50487	-169152
-20	10	-97214	-184341
