50	-20	2307	-207594
50	-10	77201	-164192
50	0	141720	-140731
40	-20	-5689	-150231
40	-10	60592	-106408
40	0	119149	-78919
40	10	179456	-64994
30	-20	-30197	-100047
30	-10	31105	-51644
30	0	82806	-18557
30	10	133803	7912
30	20	189999	20850
20	-20	-60320	-55685
20	-10	-7336	-4006
20	0	35350	38792
20	10	73556	77045
20	20	108765	112007
10	-20	-102842	-23383
10	-10	-55679	36408
10	0	-21284	87315
10	10	2943	137969
10	20	15869	193318
0	-20	-152672	-1889
0	-10	-109374	65533
0	0	-82463	123411
0	10	-67824	181743
0	20	-69289	246462
-10	-20	-212573	5944
-10	-10	-165820	83334
-10	0	-144185	147364
-10	10	-137081	208900
-10	20	-145245	275878
-20	-20	-294999	-17074
-20	-10	-230245	85315
-20	0	-206765	154229
-20	10	-201594	218709
-20	20	-212453	284241
-30	-10	-307455	63203
-30	0	-273587	145696
-30	10	-266072	212963
-30	20	-274946	274429
50	-20	2782	-206174
50	-10	77938	-163032
50	0	142564	-139826
40	-20	-6284	-149020
40	-10	60636	-105519
40	0	120210	-78374
40	10	179230	-63220
30	-20	-27802	-97553
30	-10	30386	-51247
30	0	82666	-17448
30	10	134869	7530
30	20	188818	20788
20	-20	-62123	-56763
20	-10	-8335	-3463
20	0	35080	39439
20	10	72904	77589
20	20	109341	111024
10	-20	-103374	-23435
10	-10	-55772	36601
10	0	-21347	87246
10	10	3410	137628
10	20	16731	192444
0	-20	-152572	-1141
0	-10	-108981	65151
0	0	-82143	123882
0	10	-68257	182868
0	20	-69144	246599
-10	-20	-213225	4763
-10	-10	-166870	82494
-10	0	-143988	146413
-10	10	-136392	209177
-10	20	-145043	275388
-20	-20	-291129	-12934
-20	-10	-230318	85252
-20	0	-206719	155543
-20	10	-201898	218975
-20	20	-211556	282783
-30	-10	-307021	63779
-30	0	-274581	145810
-30	10	-265257	211949
-30	20	-274468	274177


