30	-30	132228	72113
30	-20	90267	90955
30	-10	46400	100440
20	-30	108472	25585
20	-20	62139	40005
20	-10	13942	44058
20	0	-39185	35665
10	-30	92837	-22341
10	-20	43835	-10480
10	-10	-6249	-9702
10	0	-59336	-20478
0	-30	86709	-72581
0	-20	35701	-60436
0	-10	-14505	-60039
0	0	-66386	-70891
0	10	-120937	-93106
0	20	-177513	-127254
-10	-30	90234	-127600
-10	-20	36643	-112723
-10	-10	-13200	-110896
-10	0	-63118	-119916
-10	10	-113026	-138895
-10	20	-163303	-167504
-20	-20	48848	-169958
-20	-10	-2288	-163214
-20	0	-50487	-169152
-20	10	-97214	-184341
