-40	-30	-15925	181029
-40	-20	28149	197172
-40	-10	76409	204630
-30	-40	-31122	121266
-30	-30	15019	137626
-30	-20	64338	147753
-30	-10	118677	147183
-20	-40	-10321	79887
-20	-30	38694	92906
-20	-20	91994	97175
-20	-10	149089	91106
-10	-40	950	36525
-10	-30	53059	47599
-10	-20	107697	49884
-10	-10	164103	41404
-10	0	226281	21063
-10	10	294465	-13639
0	-40	3652	-8364
0	-30	58127	2562
0	-20	112967	3534
0	-10	168168	-5132
0	0	225229	-23757
0	10	286137	-54385
0	20	347482	-95135
0	30	406526	-144755
10	-40	-5348	-57076
10	-30	53368	-43753
10	-20	108714	-41604
10	-10	162303	-48972
10	0	215885	-65680
10	10	269399	-91309
10	20	321878	-125447
20	-30	36769	-94425
20	-20	94350	-88729
20	-10	146803	-93514
20	0	197666	-107334
20	10	245939	-128854
20	20	292113	-156692
30	-20	66605	-141935
30	-10	120969	-141389
-40	-30	-15909	180741
-40	-20	27810	196911
-40	-10	75267	205025
-30	-40	-31433	120984
-30	-30	14888	137618
-30	-20	64690	147777
-30	-10	117302	148567
-20	-40	-11392	79886
-20	-30	38419	92970
-20	-20	91949	97222
-20	-10	149066	90951
-10	-40	384	36464
-10	-30	52936	47638
-10	-20	107401	50005
-10	-10	163966	41610
-10	0	226287	21064
-10	10	294509	-13796
0	-40	3469	-8787
0	-30	57993	2576
0	-20	112916	3629
0	-10	167965	-4934
0	0	225678	-23958
0	10	286049	-54242
0	20	347249	-94837
0	30	406490	-144551
10	-40	-4503	-57351
10	-30	53407	-43662
10	-20	108535	-41559
10	-10	162209	-48918
10	0	215754	-65546
10	10	269399	-91223
10	20	321919	-125374
20	-30	36690	-94486
20	-20	94129	-88659
20	-10	146805	-93389
20	0	197598	-107195
20	10	245898	-128893
20	20	292346	-156611
30	-20	66862	-141668
30	-10	121194	-141368
