kg	Th	In	Mi	Ri	Li
0.05	0.251845	0.273412	0.215192	0.272851	0.209714
0.15	0.350359	0.378616	0.328611	0.387109	0.319166
0.35	0.490725	0.621647	0.456856	0.603595	0.453139
0.65	0.788458	0.953548	0.637379	0.887436	0.72707
