kg	Th	In	Mi	Ri	Li
0.05	0.0661	0.089	0.0452	0.0332	0.0645
0.15	0.192	0.196	0.186	0.139	0.174
0.35	0.425	0.385	0.273	0.314	0.384
0.55	0.702	0.507	0.459	0.371	0.67
0.65	0.804	0.566	0.424	0.533	0.679
0.85	1.021	0.79	0.638	0.555	0.893
1.05	1.238	0.966	0.821	0.767	1.079
