kg	Th	In	Mi	Ri	Li
0.05	0.254122	0.156691	0.239439	0.165563	0.205713
0.15	0.695737	0.479342	0.39808	0.544038	0.592264
0.25	1.17898	0.83061	0.63681	0.854534	0.76317
0.35	1.52302	1.20559	0.864055	1.15082	1.35404
0.55	2.03804	1.84563	1.00804	1.97801	1.85321
0.65	2.66777	2.6366	1.18744	2.05867	1.87972
