kg	Th	In	Mi	Ri	Li
0.050	0.6741	0.5570	0.7777	0.7222	0.4819
0.150	1.1119	0.9634	0.9874	0.9664	0.9112
0.350	1.7912	1.5720	1.3220	1.4070	1.7584
0.650	2.7437	2.7127	2.6554	2.6690	2.8183
1.650	5.0588	5.0573	4.5594	5.0583	5.0587
