kg	Th	In	Mi	Ri	Li
0.05	0.280493	0.20065	0.115332	0.189923	0.261223
0.15	0.649495	0.581631	0.436479	0.498917	0.670278
0.25	0.947383	0.839091	0.7119117	0.820438	0.934242
0.35	1.22258	1.16425	1.19345	1.15468	1.38504
0.55	2.01883	2.03387	1.6924	1.88352	1.9942
0.65	2.89932	2.3129	2.01195	2.16819	2.25664
