kg	Th	In	Mi	Ri	Li
0.05	0.065062	0.06855	0.066686	0.056859	0.0720664
0.15	0.215342	0.197955	0.148418	0.153261	0.15586
0.35	0.36798	0.393054	0.298431	0.361525	0.333
0.55	0.587643	0.752107	0.547594	0.639454	0.56361
0.65	0.624732	0.809565	0.609082	0.647026	0.692291
0.85	0.780737	0.936006	0.739485	0.778576	0.787313
1.05	1.11867	1.20806	0.918665	1.04288	1.02596
