kg	Th	In	Mi	Ri	Li
0.05	0.191198	0.179931	0.132756	0.154781	0.233961
0.15	0.619721	0.548888	0.475082	0.513742	0.611838
0.25	1.07395	0.928962	0.832743	0.889602	1.06384
0.35	1.46882	1.31231	1.19539	1.30898	1.50833
0.55	2.29197	1.9711	1.84656	1.97231	2.20231
0.65	2.72711	2.45452	2.23995	2.33494	2.67412
