kg	Th	In	Mi	Ri	Li
0.05	0.230924	0.269851	0.211603	0.26465	0.189138
0.15	0.345524	0.373553	0.315033	0.373766	0.30152
0.35	0.576055	0.635292	0.538026	0.626701	0.431639
0.65	0.850999	0.893948	0.646254	0.881353	0.636097
