kg	Th	In	Mi	Ri	Li
0.050	0.0686941	0.105045	0.0697256	0.0707144	0.076046
0.150	0.175066	0.232249	0.184457	0.191025	0.180251
0.350	0.371279	0.502033	0.425413	0.391122	0.371319
0.650	0.678558	0.932472	0.808563	0.731343	0.679452

