kg	Th	In	Mi	Ri	Li
0.05	0.089	0.092	0.08	0.063	0.081
0.15	0.271	0.296	0.198	0.167	0.216
0.35	0.333	0.427	0.397	0.396	0.348
0.55	0.489	0.675	0.659	0.638	0.588
0.65	0.449	0.625	0.73	0.646	0.524
0.85	0.643	0.878	0.923	0.878	0.74
1.05	0.958	0.924	1.152	1.013	0.782
