kg	Th	In	Mi	Ri	Li
0.05	0.0525	0.0718	0.0477	0.0374	0.0591
0.15	0.169	0.247	0.183	0.144	0.182
0.35	0.447	0.422	0.242	0.354	0.397
0.55	0.717	0.608	0.514	0.426	0.615
0.65	0.789	0.717	0.527	0.489	0.697
0.85	1.061	0.771	0.774	0.475	0.935
1.05	1.268	1.045	0.767	0.641	1.135
