kg	Th	In	Mi	Ri	Li
0.05	0.169033	0.163759	0.204355	0.209543	0.159868
0.15	0.251918	0.279891	0.2786	0.321213	0.291641
0.35	0.457451	0.525605	0.435633	0.547301	0.544163
0.65	0.718909	0.858791	0.735832	0.83524	0.847264
