kg	Th	In	Mi	Ri	Li
0.05	0.280493	0.20065	0.0953429	0.189923	0.261223
0.15	0.649495	0.581631	0.387579	0.498917	0.670278
0.25	0.947383	0.839091	0.716279	0.820438	0.934242
0.35	1.22258	1.16425	0.974328	1.15468	1.38504
0.55	2.01883	2.03387	1.69774	1.88352	1.9942
0.65	2.89932	2.3129	1.88934	2.16819	2.25664
