kg	Th	In	Mi	Ri	Li
0.05	0.2315	0.2634	0.0391	0.108	0.2731
0.15	0.6378	0.6554	0.102	0.5345	0.7245
0.35	1.4173	0.9962	0.1456	0.7275	1.5735
0.55	2.2051	1.9008	0.2301	1.4656	2.2515
0.65	2.4354	1.6225	0.2267	1.6779	2.7181
0.85	3.2055	2.138	0.2676	1.7695	3.4242
1.05	4.0754	2.7473	0.3853	2.2149	4.158
