-30	-20	-106115	107191
-30	-10	-55654	120460
-30	0	-4241	125887
-30	10	52536	123182
-20	-20	-88122	71778
-20	-10	-35135	81747
-20	0	18392	83945
-20	10	76548	77343
-10	-20	-77191	34976
-10	-10	-22334	43937
-10	0	31813	44331
-10	10	89671	35979
-10	20	152394	16972
0	-20	-74292	-2947
0	-10	-18263	5122
0	0	36263	5182
0	10	92308	-3440
0	20	151146	-21293
10	-20	-80027	-43218
10	-10	-21836	-33662
10	0	32894	-32639
10	10	86908	-40353
10	20	142009	-55899
10	30	197648	-79743
20	-20	-97427	-89188
20	-10	-34288	-74870
20	0	21096	-72061
20	10	74171	-77834
20	20	125456	-90812
20	30	176441	-110878
30	-10	-59134	-121882
30	0	305	-113715
30	10	53157	-116381
-30	-20	-105954	107206
-30	-10	-55899	120296
-30	0	-4102	125865
-30	10	52356	122746
-20	-20	-88146	71672
-20	-10	-34818	81901
-20	0	18526	83875
-20	10	76458	77420
-10	-20	-77523	34532
-10	-10	-22761	43581
-10	0	31463	43994
-10	10	89293	35670
-10	20	152328	16940
0	-20	-74289	-2915
0	-10	-18149	5058
0	0	36332	5213
0	10	92273	-3203
0	20	151130	-21127
10	-20	-79978	-43226
10	-10	-21926	-33783
10	0	33085	-32660
10	10	87118	-40239
10	20	141885	-56051
10	30	197577	-80069
20	-20	-97543	-89301
20	-10	-34086	-74499
20	0	21173	-71907
20	10	74351	-77576
20	20	125645	-90707
20	30	176247	-111004
30	-10	-59310	-122237
30	0	344	-113588
30	10	53232	-116379
