0	0	10744	-145063
-30	-30	-174350	-62911
-30	-20	-117732	-33519
-30	-10	-66527	-15329
-30	0	-15769	-5762
-30	10	38813	-5770
-30	20	100455	-18298
-20	-30	-165879	-104771
-20	-20	-104078	-75881
-20	-10	-50045	-59723
-20	0	3543	-53081
-20	10	59012	-56411
-20	20	119584	-71343
-20	30	186863	-100611
-10	-20	-99857	-120440
-10	-10	-42701	-104554
-10	0	12199	-99070
-10	10	67094	-103495
-10	20	124862	-118406
-10	30	186034	-144959
0	-20	-106828	-170215
0	-10	-44950	-151237
0	0	10910	-145128
0	10	65522	-149034
0	20	119761	-162334
0	30	175004	-185636
10	-10	-58582	-201572
10	0	150	-191941
10	10	53995	-193734
10	20	105779	-205094
10	30	156602	-224570
20	0	-23207	-244804
20	10	32467	-241760
20	20	83227	-249146
20	30	130847	-264949
30	20	48938	-299084
30	30	95960	-310095
0	0	11046	-145133
0	0	11023	-145041
0	0	11072	-144990
-30	-30	-174354	-62852
-30	-20	-117778	-33474
-30	-10	-66711	-15299
-30	0	-15243	-5898
-30	10	38869	-5816
-30	20	100775	-18260
-20	-30	-165825	-104894
-20	-20	-103965	-75817
-20	-10	-49737	-59871
-20	0	3553	-53127
-20	10	59041	-56557
-20	20	119687	-71389
-20	30	187155	-100720
-10	-20	-99842	-120445
-10	-10	-42760	-104564
-10	0	12202	-99132
-10	10	67038	-103514
-10	20	124941	-118477
-10	30	185819	-144787
0	-20	-106921	-170202
0	-10	-44918	-151323
0	0	11008	-145175
0	10	65419	-149093
0	20	119752	-162536
0	30	174687	-185625
10	-10	-58837	-201566
10	0	123	-191976
10	10	54037	-193739
10	20	105867	-204925
10	30	156523	-224619
20	0	-23402	-244773
20	10	32310	-241716
20	20	83255	-249164
20	30	130861	-264919
30	20	48703	-298897
30	30	96012	-310111
0	0	10685	-145272
0	0	10729	-145255
