sn  train1	t1_1	t1_2	t1_3	t1_4	hand1	train2	t2_1	t2_2	t2_3	t2_4	hand2	train3_1 train3_2 train3_3 train3_4	t3_1	t3_2 hand3   
1	1	1 5 7 8	0	2	2 6 7 8	1	 1 2 5 6	7 8	 2  
2	1	1 5 7 8	1	2	2 6 7 8	0	 1 2 5 6	7 8	 2  
3	2	2 6 5 8	0	3	3 7 5 8	1	 2 3 6 7	5 8	 2  
4	2	2 6 5 8	1	3	3 7 5 8	0	 2 3 6 7	5 8	 2  
5	3	3 7 5 6	0	4	4 8 5 6	1	 3 4 7 8	5 6	 2  
6	3	3 7 5 6	1	4	4 8 5 6	0	 3 4 7 8	5 6	 2  
7	4	4 8 7 6	0	1	1 5 7 6	1	 4 1 8 5	7 6	 2  
8	4	4 8 7 6	1	1	1 5 7 6	0	 4 1 8 5	7 6	 2  
9	1	1 5 6 8	0	3	3 7 6 8	1	 1 3 5 7	6 8	 2  
10	1	1 5 6 8	1	3	3 7 6 8	0	 1 3 5 7	6 8	 2  
11	2	2 6 5 7	0	4	4 8 5 7	1	 2 4 6 8	5 7  2
12	2	2 6 5 7	1	4	4 8 5 7	0	 2 4 6 8	5 7	 2  
13	3	3 7 8 6	0	1	1 5 8 6	1	 3 1 7 5	8 6	 2  
14	3	3 7 8 6	1	1	1 5 8 6	0	 3 1 7 5	8 6	 2  
15	4	4 8 5 7	0	2	2 6 5 7	1	 4 2 8 6	5 7	 2  
16	4	4 8 5 7	1	2	2 6 5 7	0	 4 2 8 6	5 7	 2  
17	3	3 7 5 8	0	2	2 6 5 8	1	 3 2 7 6	5 8	 2  
18	3	3 7 5 8	1	2	2 6 5 8	0	 3 2 7 6	5 8	 2  
19	2	2 6 7 8	0	1	1 5 7 8	1	 2 1 6 5	7 8	 2  
20	2	2 6 7 8	1	1	1 5 7 8	0	 2 1 6 5	7 8	 2  
21	4	4 8 5 6	0	3	3 7 5 6	1	 4 3 8 7	5 6	 2  
22	4	4 8 5 6	1	3	3 7 5 6	0	 4 3 8 7	5 6	 2  
23	1	1 5 6 7	0	4	4 8 6 7	1	 1 4 5 8	6 7	 2  
24	1	1 5 6 7	1	4	4 8 6 7	0	 1 4 5 8	6 7	 2  
